lastName,firstName,positionCode,shootsCatches,heightInInches,weightInPounds,lastAmateurClub,lastAmateurLeague,birthDate,birthCity,birthStateProvince,birthCountry,midtermRank,finalRank,meta_datetime
Bedard,Connor,C,R,70,185,Regina,WHL,2005-07-17,North Vancouver,BC,CAN,1,1,2025-02-23T15:00:45.992616
Fantilli,Adam,C,L,74,195,Michigan,BIG10,2004-10-12,Nobleton,ON,CAN,2,2,2025-02-23T15:00:45.992616
Smith,William,C,R,72,180,USA U-18,NTDP,2005-03-17,Boston,MA,USA,3,3,2025-02-23T15:00:45.992616
Wood,Matthew,RW,R,76,197,U. of Connecticut,H-EAST,2005-02-06,Lethbridge,AB,CAN,8,4,2025-02-23T15:00:45.992616
Leonard,Ryan,RW,R,72,190,USA U-18,NTDP,2005-01-21,Northhampton,MA,USA,4,5,2025-02-23T15:00:45.992616
Benson,Zach,LW,L,69,163,Winnipeg,WHL,2005-05-12,Chilliwack,BC,CAN,7,6,2025-02-23T15:00:45.992616
Danielson,Nate,C,R,74,186,Brandon,WHL,2004-09-27,Edmonton,AB,CAN,13,7,2025-02-23T15:00:45.992616
Moore,Oliver,C,L,71,195,USA U-18,NTDP,2005-01-22,Mounds View,MN,USA,6,8,2025-02-23T15:00:45.992616
Honzek,Samuel,LW,L,75,195,Vancouver,WHL,2004-11-12,Trencin,,SVK,9,9,2025-02-23T15:00:45.992616
Perreault,Gabriel,RW,L,71,163,USA U-18,NTDP,2005-05-07,Sherbrooke,QC,CAN,15,10,2025-02-23T15:00:45.992616
Yager,Brayden,C,R,71,170,Moose Jaw,WHL,2005-01-03,Saskatoon,SK,CAN,5,11,2025-02-23T15:00:45.992616
Barlow,Colby,LW,L,72,193,Owen Sound,OHL,2005-02-14,Orillia,ON,CAN,10,12,2025-02-23T15:00:45.992616
Ritchie,Calum,C,R,74,189,Oshawa,OHL,2005-01-21,Brampton,ON,CAN,17,13,2025-02-23T15:00:45.992616
Musty,Quentin,LW,L,74,202,Sudbury,OHL,2005-07-06,Hamburg,NY,USA,11,14,2025-02-23T15:00:45.992616
Cristall,Andrew,LW,L,70,175,Kelowna,WHL,2005-02-04,Vancouver,BC,CAN,16,15,2025-02-23T15:00:45.992616
Gauthier,Ethan,RW,R,72,186,Sherbrooke,QMJHL,2005-01-26,Scottsdale,AZ,USA,14,16,2025-02-23T15:00:45.992616
Nadeau,Bradly,LW,R,70,160,Penticton,BCHL,2005-05-05,St-Francois de Madawaska,NB,CAN,19,17,2025-02-23T15:00:45.992616
Dragicevic,Lukas,D,R,73,196,Tri-City,WHL,2005-04-25,Richmond,BC,CAN,12,18,2025-02-23T15:00:45.992616
Morin,Etienne,D,L,72,188,Moncton,QMJHL,2005-03-09,Salaberry-de-Valleyfield,QC,CAN,24,19,2025-02-23T15:00:45.992616
Bonk,Oliver,D,R,74,190,London,OHL,2005-01-09,Ottawa,ON,CAN,18,20,2025-02-23T15:00:45.992616
Heidt,Riley,C,L,70,182,Prince George,WHL,2005-03-25,Saskatoon,SK,CAN,26,21,2025-02-23T15:00:45.992616
Nelson,Danny,C,L,75,212,USA U-18,NTDP,2005-08-03,St. Louis Park,MN,USA,22,22,2025-02-23T15:00:45.992616
Brindley,Gavin,C,R,68,168,Michigan,BIG10,2004-10-05,Fort Myers,FL,USA,40,23,2025-02-23T15:00:45.992616
